num_locations,num_bootstrappers,num_reputables,num_endorsees,num_newbies,num_meetups,num_meetups_without_bootstrapper_or_reputable,min_num_bootstrappers,max_num_bootstrappers,min_num_reputables,max_num_reputables,min_bootstrapers_and_reputable,min_newbie_ratio,max_newbie_ratio,min_length,max_length,num_participants
5,3,0,0,0,1,0,3,3,0,0,3,0.0,0.0,3,3,3
5,3,0,0,7348,1,0,3,3,0,0,3,0.25,0.25,4,4,4
5,3,0,0,4973,1,0,3,3,0,0,3,0.25,0.25,4,4,4
5,3,0,0,3844,1,0,3,3,0,0,3,0.25,0.25,4,4,4
5,3,0,0,10000,1,0,3,3,0,0,3,0.25,0.25,4,4,4
5,3,0,2042,0,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,2042,1226,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,2042,6686,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,2042,5265,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,2042,10000,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,5737,0,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,5737,9199,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,5737,6272,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,5737,145,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,5737,10000,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,535,0,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,535,4322,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,535,3830,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,535,1185,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,535,10000,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,10000,0,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,10000,3222,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,10000,4229,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,10000,2952,3,0,1,1,0,0,1,0.0,0.0,11,11,33
5,3,0,10000,10000,3,0,1,1,0,0,1,0.0,0.0,11,11,33
